time,text,user,fav_n,rt_n,total_fav_rt,text_preview
Fri Nov 01 14:46:04 +0000 2013,Realized MOTM2 is my favorite album ever @ducidni #rage,ASpannbauer,0,0,0,Realized MOTM2 is my...
Fri Nov 01 12:37:58 +0000 2013,Happy birfday to my favoritest person #allgrownup #happenssofast #feeling22 #tswiftknows @LaurenWard08 http://t.co/SARvtQgQyo,ASpannbauer,1,0,1,Happy birfday to my ...
Wed Oct 30 05:20:27 +0000 2013,"Lean all on the square, that's a fuccin a rhombus",ASpannbauer,0,0,0,Lean all on the squa...
Tue Oct 29 15:02:03 +0000 2013,You should ask a snake where his legs go #tweakin #chano,ASpannbauer,0,0,0,You should ask a sna...
Thu Oct 24 13:10:43 +0000 2013,Hope my jones soda bottle cap is right. Honesty has gotten me into trouble this year http://t.co/taLrVibnfe,ASpannbauer,2,0,2,Hope my jones soda b...
Thu Oct 24 00:43:21 +0000 2013,Between me and my roomie we have over 200 DVDs. The only 2 I own are Pineapple Express and Space Jam,ASpannbauer,2,0,2,Between me and my ro...
Mon Oct 21 22:11:00 +0000 2013,If you don't know how to drive on a roundabout then I literally hate you,ASpannbauer,0,0,0,If you don't know ho...
Mon Oct 21 16:05:59 +0000 2013,@dozark1 only for you big boy,ASpannbauer,2,0,2,@dozark1 only for yo...
Mon Oct 21 13:03:46 +0000 2013,Monday morning inspiration for y'all http://t.co/AYwhx3J3CY,ASpannbauer,1,0,1,Monday morning inspi...
Sun Oct 20 19:22:04 +0000 2013,@dozark1 #tradingforgimps,ASpannbauer,0,0,0,@dozark1 #tradingfor...
Sun Oct 20 07:57:57 +0000 2013,"Make money, but the money you make don't make you",ASpannbauer,1,2,3,"Make money, but the ..."
Mon Oct 14 13:06:28 +0000 2013,Being sick is stupid,ASpannbauer,0,0,0,Being sick is stupid...
Sun Oct 13 15:13:53 +0000 2013,Eating #JUICE for breakfast #gameday,ASpannbauer,0,0,0,Eating #JUICE for br...
Sat Oct 12 00:13:32 +0000 2013,Depressing fortune cookie http://t.co/oksrwaLKQY,ASpannbauer,1,0,1,Depressing fortune c...
Wed Oct 09 04:12:41 +0000 2013,@dozark1 sweet twitter name #queer,ASpannbauer,2,0,2,@dozark1 sweet twitt...
Sat Oct 05 15:03:45 +0000 2013,XXYYXX,ASpannbauer,0,0,0,XXYYXX...
Sat Oct 05 00:46:24 +0000 2013,@Hoodway false,ASpannbauer,0,0,0,@Hoodway false...
Thu Sep 19 03:08:51 +0000 2013,@dozark1 come and get it 😏,ASpannbauer,0,0,0,@dozark1 come and ge...
Mon Sep 16 12:00:21 +0000 2013,#sick,ASpannbauer,0,0,0,#sick...
Sat Sep 14 12:54:29 +0000 2013,@dozark1 can't stop thinkin about those WLPMs #mmmmmmmm,ASpannbauer,1,0,1,@dozark1 can't stop ...
Fri Sep 06 14:57:16 +0000 2013,Love seeing that power M gettin painted at the field #gamedayeve,ASpannbauer,4,0,4,Love seeing that pow...
Fri Sep 06 01:34:48 +0000 2013,Coach Boone knows what's up #iremember,ASpannbauer,0,0,0,Coach Boone knows wh...
Thu Sep 05 13:16:27 +0000 2013,@ducidni:Here are ALL the dates again just in case some folks missed it http://t.co/Ycj9ciwMBt @Hoodway @tbrackett29 @Deckness @imperphect_,ASpannbauer,0,0,0,@ducidni:Here are AL...
Tue Sep 03 13:22:25 +0000 2013,Still wondering why there isn't a redbox on campus....,ASpannbauer,1,0,1,Still wondering why ...
Mon Sep 02 00:05:05 +0000 2013,#badass http://t.co/IoR5RLFhJx,ASpannbauer,0,0,0,#badass http://t.co/...
Sat Aug 31 00:11:37 +0000 2013,10 goals for #mcscots opening day! And a solid belting of STAAANNNDD FFREEEEE for ya boi @scottiejohn,ASpannbauer,4,4,8,10 goals for #mcscot...
Fri Aug 30 15:11:53 +0000 2013,"🍊      🍊
 🍊    🍊 
  🍊  🍊
   🍊🍊
     🍊

      🏈
 🏈     🏈
🏈      🏈
🏈      🏈
     🏈

🍊
🍊
🍊
🍊
🍊🍊🍊🍊

   🏈🏈🏈
 🏈
 🏈🏈🏈
           🏈
🏈🏈🏈",ASpannbauer,1,2,3,"🍊      🍊
 🍊    🍊 
  ..."
Wed Aug 28 12:01:00 +0000 2013,Found an doodle from way back today http://t.co/nFTOgvMw71,ASpannbauer,0,0,0,Found an doodle from...
